,거래처코드,제품코드,수주량,수주단가,수주금액,수주일자,납기일자,제품명,수주월
1350,2007700,PEMA023058600,4000,2489,9956000,2020-12-25,2020-12-28,PEMA-500FR,2020-12
1351,2007800,PEMA023058600,15000,2490,37350000,2020-12-25,2020-12-28,PEMA-500FR,2020-12
1352,2003800,PEMA023058600,20000,2588,51760000,2020-12-29,2021-01-01,PEMA-500FR,2020-12
1354,2004700,PEMA073050413,15000,1036,15540000,2020-01-02,2020-01-05,PEMA-580FX,2020-01
1355,2005300,PEMA073050413,10000,1468,14680000,2020-01-21,2020-01-24,PEMA-580FX,2020-01
1356,2005400,PEMA073050413,10000,1469,14690000,2020-01-21,2020-01-24,PEMA-580FX,2020-01
1360,2004700,PEMA073050413,15000,1036,15540000,2020-02-23,2020-02-26,PEMA-580FX,2020-02
1391,2004800,PEMA013099150,20000,1037,20740000,2020-01-02,2020-01-05,PEMA-580FX,2020-01
1393,2004200,PEMA013099150,20000,1386,27720000,2020-01-19,2020-01-22,PEMA-580FX,2020-01
1395,2004800,PEMA013099150,20000,1037,20740000,2020-02-23,2020-02-26,PEMA-580FX,2020-02
1396,2005600,PEMA013099150,20000,1116,22320000,2020-02-25,2020-02-28,PEMA-580FX,2020-02
1419,2004100,PEMA013099150,20000,2591,51820000,2020-12-19,2020-12-22,PEMA-580FX,2020-12
1420,2004100,PEMA013099150,20000,2591,51820000,2020-12-29,2021-01-01,PEMA-580FX,2020-12
1421,2004901,PEMA023123000,3000,1038,3114000,2020-01-02,2020-01-05,PEMA-CR1000,2020-01
1422,2005000,PEMA023123000,7000,1039,7273000,2020-01-02,2020-01-05,PEMA-CR1000,2020-01
1423,2004700,PEMA023123000,10000,1320,13200000,2020-01-17,2020-01-20,PEMA-CR1000,2020-01
1424,2003600,PEMA023123000,7000,1592,11144000,2020-01-26,2020-01-29,PEMA-CR1000,2020-01
1425,2003700,PEMA023123000,3000,1593,4779000,2020-01-26,2020-01-29,PEMA-CR1000,2020-01
1426,2004600,PEMA023123000,10000,1887,18870000,2020-02-04,2020-02-07,PEMA-CR1000,2020-02
1428,2004901,PEMA023123000,3000,1038,3114000,2020-02-23,2020-02-26,PEMA-CR1000,2020-02
1429,2005000,PEMA023123000,7000,1039,7273000,2020-02-23,2020-02-26,PEMA-CR1000,2020-02
1463,2005100,PEMA013046500,5000,1040,5200000,2020-01-02,2020-01-05,CSA4000,2020-01
1464,2007500,PEMA013046500,10000,1280,12800000,2020-01-14,2020-01-17,CSA4000,2020-01
1469,2004100,PEMA013046500,7000,2307,16149000,2020-02-15,2020-02-18,CSA4000,2020-02
1470,2005100,PEMA013046500,5000,1040,5200000,2020-02-23,2020-02-26,CSA4000,2020-02
1508,2004100,PEMA013046500,7000,2307,16149000,2020-12-08,2020-12-11,CSA4000,2020-12
1511,2005200,PEMA023052200,10000,1041,10410000,2020-01-02,2020-01-05,PEMA-CSA5000,2020-01
1512,2006700,PEMA023052200,10000,1556,15560000,2020-01-25,2020-01-28,PEMA-CSA5000,2020-01
1513,2005200,PEMA023052200,10000,1041,10410000,2020-02-23,2020-02-26,PEMA-CSA5000,2020-02
1527,2006100,PEMA023052200,10000,2541,25410000,2020-12-16,2020-12-19,PEMA-CSA5000,2020-12
1528,2006100,PEMA023052200,10000,2541,25410000,2020-12-26,2020-12-29,PEMA-CSA5000,2020-12
1529,2005300,PEMA553048200,10000,1042,10420000,2020-01-02,2020-01-05,CSA5000,2020-01
1530,2002000,PEMA553048200,10000,1505,15050000,2020-01-22,2020-01-25,CSA5000,2020-01
1532,2006700,PEMA553048200,10000,2053,20530000,2020-02-07,2020-02-10,CSA5000,2020-02
1533,2004500,PEMA553048200,10000,2312,23120000,2020-02-15,2020-02-18,CSA5000,2020-02
1534,2005300,PEMA553048200,10000,1042,10420000,2020-02-23,2020-02-26,CSA5000,2020-02
1562,2004500,PEMA553048200,10000,2312,23120000,2020-12-08,2020-12-11,CSA5000,2020-12
1563,2004600,PEMA553048200,10000,2597,25970000,2020-12-19,2020-12-22,CSA5000,2020-12
1564,2004600,PEMA553048200,10000,2597,25970000,2020-12-29,2021-01-01,CSA5000,2020-12
1565,2005400,PEMA013111300,10000,1043,10430000,2020-01-02,2020-01-05,CSA5000,2020-01
1566,2001600,PEMA013111300,5000,1218,6090000,2020-01-12,2020-01-15,CSA5000,2020-01
1567,2001800,PEMA013111300,10000,1433,14330000,2020-01-20,2020-01-23,CSA5000,2020-01
1568,2001400,PEMA013111300,10000,1926,19260000,2020-02-05,2020-02-07,CSA5000,2020-02
1569,2004200,PEMA013111300,10000,2451,24510000,2020-02-21,2020-02-24,CSA5000,2020-02
1570,2005400,PEMA013111300,10000,1043,10430000,2020-02-23,2020-02-26,CSA5000,2020-02
1596,2005500,PEMA023035315,8000,1044,8352000,2020-01-02,2020-01-05,CSA5000,2020-01
1597,2007600,PEMA023035315,8000,1281,10248000,2020-01-14,2020-01-17,CSA5000,2020-01
1598,2001300,PEMA023035315,8000,1428,11424000,2020-01-19,2020-01-22,CSA5000,2020-01
1599,2003800,PEMA023035315,8000,1594,12752000,2020-01-26,2020-01-29,CSA5000,2020-01
1600,2002900,PEMA023035315,8000,1798,14384000,2020-02-02,2020-02-05,CSA5000,2020-02
1601,2006612,PEMA023035315,8000,2052,16416000,2020-02-07,2020-02-10,CSA5000,2020-02
1602,2004200,PEMA023035315,8000,2309,18472000,2020-02-15,2020-02-18,CSA5000,2020-02
1603,2004500,PEMA023035315,8000,2454,19632000,2020-02-21,2020-02-24,CSA5000,2020-02
1604,2005500,PEMA023035315,8000,1044,8352000,2020-02-23,2020-02-26,CSA5000,2020-02
1646,2004200,PEMA023035315,8000,2309,18472000,2020-12-08,2020-12-11,CSA5000,2020-12
1650,2005600,PEMA023035315,8000,2678,21424000,2020-12-31,2021-01-03,CSA5000,2020-12
1651,2005600,PEMA023001000,10000,1045,10450000,2020-01-02,2020-01-05,CSA5000,2020-01
1652,2001700,PEMA023001000,10000,1219,12190000,2020-01-12,2020-01-15,CSA5000,2020-01
1653,2004800,PEMA023001000,7000,1321,9247000,2020-01-17,2020-01-20,CSA5000,2020-01
1654,2004200,PEMA023001000,7000,1599,11193000,2020-01-26,2020-01-29,CSA5000,2020-01
1656,2006400,PEMA023001000,7000,1976,13832000,2020-02-07,2020-02-08,CSA5000,2020-02
1657,2006600,PEMA023001000,7000,1978,13846000,2020-02-07,2020-02-08,CSA5000,2020-02
1658,2003700,PEMA023001000,7000,2161,15127000,2020-02-11,2020-02-14,CSA5000,2020-02
1659,2004300,PEMA023001000,10000,2310,23100000,2020-02-15,2020-02-18,CSA5000,2020-02
1660,2004300,PEMA023001000,10000,2452,24520000,2020-02-21,2020-02-24,CSA5000,2020-02
1661,2005600,PEMA023001000,10000,1045,10450000,2020-02-23,2020-02-26,CSA5000,2020-02
1708,2003700,PEMA023001000,7000,2161,15127000,2020-12-04,2020-12-07,CSA5000,2020-12
1709,2004300,PEMA023001000,10000,2310,23100000,2020-12-08,2020-12-11,CSA5000,2020-12
1712,2005700,PEMA013039505,7000,1046,7322000,2020-01-02,2020-01-05,PEMA-HR1000,2020-01
1713,2005200,PEMA013039505,7000,2035,14245000,2020-02-07,2020-02-09,PEMA-HR1000,2020-02
1714,2006000,PEMA013039505,7000,2469,17283000,2020-02-21,2020-02-24,PEMA-HR1000,2020-02
1715,2005700,PEMA013039505,7000,1046,7322000,2020-02-23,2020-02-26,PEMA-HR1000,2020-02
1734,2005700,PEMA013039505,7000,2608,18256000,2020-12-19,2020-12-22,PEMA-HR1000,2020-12
1736,2005700,PEMA013039505,7000,2608,18256000,2020-12-29,2021-01-01,PEMA-HR1000,2020-12
1737,2005800,PEMA013049304,10000,1047,10470000,2020-01-01,2020-01-04,PEMA-HR1000,2020-01
1738,2005800,PEMA013049304,10000,1047,10470000,2020-02-22,2020-02-25,PEMA-HR1000,2020-02
1743,2005900,PEMA013010100,10000,1048,10480000,2020-01-01,2020-01-04,PEMA-HR1000,2020-01
1744,2003700,PEMA013010100,10000,1167,11670000,2020-01-05,2020-01-11,PEMA-HR1000,2020-01
1745,2001700,PEMA013010100,10000,2142,21420000,2020-02-08,2020-02-11,PEMA-HR1000,2020-02
1746,2005900,PEMA013010100,10000,1048,10480000,2020-02-22,2020-02-25,PEMA-HR1000,2020-02
