원자재코드,2022-01-11,2022-01-18,2022-01-25,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29
SR35228,13823.90182889418,19204.80046317809,21998.427621331964,28048.39311279751,31696.030964263955,21678.692331310238,18368.459401502547,19892.67639596251,26505.91568964569,26579.063457271994,44401.7748460021,29474.929086051554
SR35500,10595.255986749347,18975.46165871191,19649.99029768503,17873.523467938878,35855.25097880847,22125.67640688327,21470.753709453686,21336.93407039031,24754.993443456915,25245.188844659056,28974.285302032666,30835.42270087779
SR35556,8548.89743199124,15808.200512636495,15591.599809092104,15079.707298529182,29564.355050411516,17085.262132339787,17451.849397504553,16121.168669663808,19346.350313672036,20627.1981306908,24113.567394147878,24499.180194946024
SR35755,575.462031385208,2234.6971703830554,1125.454292736004,685.4669018557389,2204.7544757638916,1388.820904967209,3551.9221817448106,1659.9070638119754,4176.185767023564,2341.686758776051,1846.0351659027706,4607.021580582321
SR35758,8826.533278322091,11237.850348900161,12305.36577014263,10958.322644542726,16469.05245175957,12496.771927318,10024.478354208493,12053.843910077263,16858.860323124034,14362.011933662894,18534.57905443222,13965.191785052795
SR35760,0.0,0.0,2.4421481356272423,0.0,9.62320916217021,0.0,9.40114487337246,0.0,12.918735080950501,25.452035343084546,18.549888230125102,15.622054641082716
SR35761,0.0,0.0,2.4421481356272423,0.0,9.62320916217021,0.0,9.40114487337246,0.0,12.918735080950501,25.452035343084546,18.549888230125102,15.622054641082716
SR35765,0.0,0.0,35.81817265586622,0.0,141.1404010451631,0.0,137.88345814279606,0.0,189.474781187274,373.29651836524,272.06502737516814,229.12346806921317
SR35903,4785.831108279157,9298.373658447781,9520.995340702266,8145.192463167612,15732.856644941685,9770.323222329902,9958.659848208572,9068.622122247205,11351.363301343943,13281.749551881076,14134.01979273265,14853.876838853463
SR35904,12965.82173978615,24056.71775975031,24878.678676027484,20547.58930227845,39578.22937468828,26021.929294927046,31700.816742939318,24158.288535167634,34043.101168201305,33824.61686932206,37262.88924121942,42757.73411375577
SR35905,189.94530215731004,265.2563497579278,363.20082569987994,301.65519043712504,551.5585119878809,416.2049095786042,270.0465114920251,409.74630396245976,354.589316516134,414.9998281719372,418.24230510199834,449.4715117793129
SR38117,169.14752815043371,238.0317330743094,277.9175644596889,227.22712897681228,395.9279586199263,266.7190232694925,233.2713152107991,270.4320370190393,345.9170181825612,346.52079439490785,397.0989057045512,357.91623247506146
SR47093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.161238098144533,37.49340667724609,44.14752044677735
SR68222,231.4595211806294,334.19409303611644,356.8557140414134,312.33506236286166,517.7179325701147,358.07334096904026,300.98193683615546,347.6101370816518,475.5706938972079,432.30323380675577,506.33207334278484,426.289169353156
SSA043031400,7879.437404778886,12236.860649958768,13070.843223118907,13068.338261048297,23182.79608825667,12904.466874035355,13699.634965367699,11387.444196778386,16131.20899554491,14823.468243238862,21829.223739372897,18161.814758926554
TSN4012039104,842.923932253231,1770.6125699860902,1308.5138671753004,921.0598158131264,6887.990644450507,3363.1097283733798,6559.462518957111,2384.0879820026507,3042.4481626511256,2105.7255106663793,2487.7389463958466,6100.544783844999
TSN4012043602,1748.8048386996495,3673.4700622118053,2714.7590605296687,1910.9124809400964,14290.43702168155,6977.406075463444,13608.843400325957,4946.2406265615155,6312.133117533455,4368.725125863858,5161.284121153209,12656.73191669087
TSN4012057700,996.8187580588003,2093.8779354607295,1547.4126645019114,1089.220114135855,8145.549102358485,3977.1214630141635,7757.040738185797,2819.3571571400644,3597.91587699407,2490.1733217423994,2941.9319490573293,7214.337192513797
